task_id,solve_rate,n_systems,disagreement,entropy_bits
astropy__astropy-12907,0.6222222222222222,45,0.9402469135802469,0.9564574047992594
astropy__astropy-13033,0.044444444444444446,45,0.16987654320987655,0.2623112196143366
astropy__astropy-13236,0.06666666666666667,45,0.24888888888888888,0.35335933502142136
astropy__astropy-13398,0.0,45,0.0,0.0
astropy__astropy-13453,0.6,45,0.96,0.9709505944546686
astropy__astropy-13579,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
astropy__astropy-13977,0.022222222222222223,45,0.08691358024691358,0.15374218032876188
astropy__astropy-14096,0.6222222222222222,45,0.9402469135802469,0.9564574047992594
astropy__astropy-14182,0.1111111111111111,45,0.3950617283950617,0.5032583347756457
astropy__astropy-14309,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
astropy__astropy-14365,0.15555555555555556,45,0.5254320987654321,0.6235702082127974
astropy__astropy-14369,0.24444444444444444,45,0.7387654320987654,0.8023534428291901
astropy__astropy-14508,0.6666666666666666,45,0.888888888888889,0.9182958340544896
astropy__astropy-14539,0.7777777777777778,45,0.691358024691358,0.7642045065086203
astropy__astropy-14598,0.044444444444444446,45,0.16987654320987655,0.2623112196143366
astropy__astropy-14995,0.8222222222222222,45,0.5846913580246914,0.6751914401458716
astropy__astropy-7166,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
astropy__astropy-7336,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
astropy__astropy-7606,0.06666666666666667,45,0.24888888888888888,0.35335933502142136
astropy__astropy-7671,0.7777777777777778,45,0.691358024691358,0.7642045065086203
astropy__astropy-8707,0.022222222222222223,45,0.08691358024691358,0.15374218032876188
astropy__astropy-8872,0.022222222222222223,45,0.08691358024691358,0.15374218032876188
django__django-10097,0.4,45,0.96,0.9709505944546686
django__django-10554,0.0,45,0.0,0.0
django__django-10880,0.7111111111111111,45,0.8217283950617283,0.8672816222000259
django__django-10914,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-10973,0.7333333333333333,45,0.7822222222222224,0.8366407419411672
django__django-10999,0.0,45,0.0,0.0
django__django-11066,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-11087,0.0,45,0.0,0.0
django__django-11095,0.8666666666666667,45,0.46222222222222215,0.5665095065529052
django__django-11099,0.9333333333333333,45,0.24888888888888883,0.3533593350214213
django__django-11119,0.9111111111111111,45,0.3239506172839507,0.43275015878875406
django__django-11133,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-11138,0.15555555555555556,45,0.5254320987654321,0.6235702082127974
django__django-11141,0.17777777777777778,45,0.5846913580246914,0.6751914401458716
django__django-11149,0.35555555555555557,45,0.9165432098765431,0.9389320105807949
django__django-11163,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-11179,0.8222222222222222,45,0.5846913580246914,0.6751914401458716
django__django-11206,0.4,45,0.96,0.9709505944546686
django__django-11211,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-11239,0.5111111111111111,45,0.9995061728395062,0.9996437496778561
django__django-11265,0.3111111111111111,45,0.8572839506172839,0.8944518845341283
django__django-11276,0.8,45,0.6399999999999999,0.7219280948873623
django__django-11292,0.7555555555555555,45,0.7387654320987654,0.8023534428291901
django__django-11299,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-11333,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-11400,0.0,45,0.0,0.0
django__django-11433,0.13333333333333333,45,0.46222222222222226,0.5665095065529053
django__django-11451,0.6888888888888889,45,0.8572839506172839,0.8944518845341283
django__django-11477,0.0,45,0.0,0.0
django__django-11490,0.4444444444444444,45,0.9876543209876543,0.9910760598382222
django__django-11532,0.35555555555555557,45,0.9165432098765431,0.9389320105807949
django__django-11551,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-11555,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-11603,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-11728,0.15555555555555556,45,0.5254320987654321,0.6235702082127974
django__django-11734,0.022222222222222223,45,0.08691358024691358,0.15374218032876188
django__django-11740,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-11749,0.6666666666666666,45,0.888888888888889,0.9182958340544896
django__django-11790,0.15555555555555556,45,0.5254320987654321,0.6235702082127974
django__django-11815,0.6,45,0.96,0.9709505944546686
django__django-11820,0.0,45,0.0,0.0
django__django-11848,0.26666666666666666,45,0.7822222222222223,0.8366407419411672
django__django-11880,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-11885,0.13333333333333333,45,0.46222222222222226,0.5665095065529053
django__django-11951,0.8,45,0.6399999999999999,0.7219280948873623
django__django-11964,0.28888888888888886,45,0.8217283950617283,0.8672816222000259
django__django-11999,0.7333333333333333,45,0.7822222222222224,0.8366407419411672
django__django-12039,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-12050,0.8222222222222222,45,0.5846913580246914,0.6751914401458716
django__django-12125,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-12143,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-12155,0.9333333333333333,45,0.24888888888888883,0.3533593350214213
django__django-12193,0.4666666666666667,45,0.9955555555555555,0.9967916319816366
django__django-12209,0.7777777777777778,45,0.691358024691358,0.7642045065086203
django__django-12262,0.6666666666666666,45,0.888888888888889,0.9182958340544896
django__django-12273,0.1111111111111111,45,0.3950617283950617,0.5032583347756457
django__django-12276,0.7777777777777778,45,0.691358024691358,0.7642045065086203
django__django-12304,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-12308,0.15555555555555556,45,0.5254320987654321,0.6235702082127974
django__django-12325,0.06666666666666667,45,0.24888888888888888,0.35335933502142136
django__django-12406,0.0,45,0.0,0.0
django__django-12419,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-12663,0.4444444444444444,45,0.9876543209876543,0.9910760598382222
django__django-12708,0.6888888888888889,45,0.8572839506172839,0.8944518845341283
django__django-12713,0.8,45,0.6399999999999999,0.7219280948873623
django__django-12741,0.7555555555555555,45,0.7387654320987654,0.8023534428291901
django__django-12754,0.5333333333333333,45,0.9955555555555555,0.9967916319816366
django__django-12774,0.5555555555555556,45,0.9876543209876543,0.9910760598382222
django__django-12858,0.6888888888888889,45,0.8572839506172839,0.8944518845341283
django__django-12965,0.5111111111111111,45,0.9995061728395062,0.9996437496778561
django__django-13012,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-13023,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-13028,0.7333333333333333,45,0.7822222222222224,0.8366407419411672
django__django-13033,0.6,45,0.96,0.9709505944546686
django__django-13089,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-13109,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-13112,0.4888888888888889,45,0.999506172839506,0.9996437496778561
django__django-13121,0.5333333333333333,45,0.9955555555555555,0.9967916319816366
django__django-13128,0.4888888888888889,45,0.999506172839506,0.9996437496778561
django__django-13158,0.6222222222222222,45,0.9402469135802469,0.9564574047992594
django__django-13195,0.044444444444444446,45,0.16987654320987655,0.2623112196143366
django__django-13212,0.0,45,0.0,0.0
django__django-13279,0.6666666666666666,45,0.888888888888889,0.9182958340544896
django__django-13297,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-13315,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-13343,0.7111111111111111,45,0.8217283950617283,0.8672816222000259
django__django-13344,0.08888888888888889,45,0.32395061728395064,0.43275015878875406
django__django-13346,0.5111111111111111,45,0.9995061728395062,0.9996437496778561
django__django-13363,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-13401,0.6666666666666666,45,0.888888888888889,0.9182958340544896
django__django-13406,0.6,45,0.96,0.9709505944546686
django__django-13410,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-13417,0.7777777777777778,45,0.691358024691358,0.7642045065086203
django__django-13449,0.6444444444444445,45,0.9165432098765431,0.9389320105807948
django__django-13512,0.35555555555555557,45,0.9165432098765431,0.9389320105807949
django__django-13513,0.0,45,0.0,0.0
django__django-13516,0.7777777777777778,45,0.691358024691358,0.7642045065086203
django__django-13551,0.5777777777777777,45,0.9758024691358025,0.982474086838641
django__django-13568,0.4888888888888889,45,0.999506172839506,0.9996437496778561
django__django-13569,0.6888888888888889,45,0.8572839506172839,0.8944518845341283
django__django-13590,0.7111111111111111,45,0.8217283950617283,0.8672816222000259
django__django-13658,0.9333333333333333,45,0.24888888888888883,0.3533593350214213
django__django-13670,0.8888888888888888,45,0.3950617283950619,0.5032583347756459
django__django-13741,0.8666666666666667,45,0.46222222222222215,0.5665095065529052
django__django-13786,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-13794,0.022222222222222223,45,0.08691358024691358,0.15374218032876188
django__django-13807,0.5111111111111111,45,0.9995061728395062,0.9996437496778561
django__django-13809,0.7111111111111111,45,0.8217283950617283,0.8672816222000259
django__django-13810,0.7111111111111111,45,0.8217283950617283,0.8672816222000259
django__django-13820,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
django__django-13821,0.8444444444444444,45,0.5254320987654321,0.6235702082127974
